,0
pck@0.1,86.21212121212119
pck@0.1_Head,75.89622641509433
pck@0.1_Lateral,95.6446540880503
pck@0.1_Tail,90.53459119496854
pck@0.1_Eye,76.05345911949685
pck@0.1_Dorsal_fin,91.47798742138365
pck@0.1_Pelvic_fin,89.40251572327045
pck@0.1_Adipose_fin,86.91823899371067
pck@0.1_Anal_fin,87.78301886792453
pck@0.1_Caudal_fin_up,76.76100628930817
pck@0.1_Caudal_fin_down,85.0
pck@0.1_Dorsal_joint,92.86163522012578
pck@0.2,90.93481989708405
pck@0.2_Head,78.88364779874213
pck@0.2_Lateral,98.31761006289308
pck@0.2_Tail,94.10377358490567
pck@0.2_Eye,78.88364779874213
pck@0.2_Dorsal_fin,97.562893081761
pck@0.2_Pelvic_fin,95.6446540880503
pck@0.2_Adipose_fin,94.85849056603773
pck@0.2_Anal_fin,94.70125786163521
pck@0.2_Caudal_fin_up,79.04088050314465
pck@0.2_Caudal_fin_down,89.77987421383648
pck@0.2_Dorsal_joint,98.5062893081761
pck@0.3,92.17267009719842
pck@0.3_Head,79.82704402515725
pck@0.3_Lateral,98.5062893081761
pck@0.3_Tail,95.36163522012578
pck@0.3_Eye,80.29874213836479
pck@0.3_Dorsal_fin,98.5062893081761
pck@0.3_Pelvic_fin,97.09119496855345
pck@0.3_Adipose_fin,95.36163522012578
pck@0.3_Anal_fin,96.11635220125785
pck@0.3_Caudal_fin_up,79.98427672955974
pck@0.3_Caudal_fin_down,94.33962264150944
pck@0.3_Dorsal_joint,98.5062893081761
oks_mean,0.6490482383034071
oks_std,0.07284487341975006
precision,0.8103773584905661
recall,0.8103773584905661
