,0
pck@0.1,84.07089765580331
pck@0.1_Head,72.67295597484276
pck@0.1_Lateral,94.15094339622641
pck@0.1_Tail,89.90566037735849
pck@0.1_Eye,59.30817610062893
pck@0.1_Dorsal_fin,90.4245283018868
pck@0.1_Pelvic_fin,87.51572327044025
pck@0.1_Adipose_fin,87.23270440251572
pck@0.1_Anal_fin,88.9622641509434
pck@0.1_Caudal_fin_up,76.21069182389937
pck@0.1_Caudal_fin_down,86.05345911949685
pck@0.1_Dorsal_joint,92.34276729559747
pck@0.2,90.21869639794168
pck@0.2_Head,79.82704402515722
pck@0.2_Lateral,98.27044025157232
pck@0.2_Tail,95.59748427672955
pck@0.2_Eye,62.216981132075475
pck@0.2_Dorsal_fin,96.54088050314465
pck@0.2_Pelvic_fin,95.12578616352201
pck@0.2_Adipose_fin,95.56603773584905
pck@0.2_Anal_fin,95.88050314465407
pck@0.2_Caudal_fin_up,80.14150943396227
pck@0.2_Caudal_fin_down,94.49685534591194
pck@0.2_Dorsal_joint,98.74213836477986
pck@0.3,91.13350485991994
pck@0.3_Head,80.29874213836477
pck@0.3_Lateral,98.74213836477986
pck@0.3_Tail,96.54088050314465
pck@0.3_Eye,63.632075471698116
pck@0.3_Dorsal_fin,97.79874213836477
pck@0.3_Pelvic_fin,96.85534591194968
pck@0.3_Adipose_fin,96.35220125786162
pck@0.3_Anal_fin,96.35220125786162
pck@0.3_Caudal_fin_up,81.08490566037736
pck@0.3_Caudal_fin_down,96.0691823899371
pck@0.3_Dorsal_joint,98.74213836477986
oks_mean,0.610674752530952
oks_std,0.0710082949262581
precision,0.7776729559748428
recall,0.7776729559748428
