,0
pck@0.1,89.90851915380217
pck@0.1_Head,90.72327044025157
pck@0.1_Lateral,91.11635220125785
pck@0.1_Tail,92.37421383647799
pck@0.1_Eye,90.17295597484275
pck@0.1_Dorsal_fin,90.01572327044025
pck@0.1_Pelvic_fin,88.6006289308176
pck@0.1_Adipose_fin,90.56603773584905
pck@0.1_Anal_fin,86.71383647798743
pck@0.1_Caudal_fin_up,89.62264150943396
pck@0.1_Caudal_fin_down,86.94968553459118
pck@0.1_Dorsal_joint,92.13836477987421
pck@0.2,95.29016580903374
pck@0.2_Head,95.04716981132076
pck@0.2_Lateral,97.01257861635219
pck@0.2_Tail,96.22641509433963
pck@0.2_Eye,95.51886792452831
pck@0.2_Dorsal_fin,95.20440251572326
pck@0.2_Pelvic_fin,94.81132075471699
pck@0.2_Adipose_fin,94.88993710691823
pck@0.2_Anal_fin,94.33962264150944
pck@0.2_Caudal_fin_up,95.44025157232704
pck@0.2_Caudal_fin_down,93.23899371069182
pck@0.2_Dorsal_joint,96.4622641509434
pck@0.3,96.8696397941681
pck@0.3_Head,97.01257861635219
pck@0.3_Lateral,97.64150943396227
pck@0.3_Tail,96.22641509433963
pck@0.3_Eye,96.69811320754717
pck@0.3_Dorsal_fin,97.32704402515722
pck@0.3_Pelvic_fin,97.64150943396227
pck@0.3_Adipose_fin,96.22641509433963
pck@0.3_Anal_fin,96.69811320754717
pck@0.3_Caudal_fin_up,96.22641509433963
pck@0.3_Caudal_fin_down,96.22641509433963
pck@0.3_Dorsal_joint,97.64150943396227
oks_mean,0.6700009422040543
oks_std,0.06235346338207215
precision,0.815251572327044
recall,0.815251572327044
